name,role,type,demographic,description,units,missing_values
TIME_B_S,Feature,Categorical,,"Time elapsed from the beginning of the attack of CHD to the hospital

1: less than 2 hours

2: 2-4 hours

3: 4-6 hours

4: 6-8 hours

5: 8-12 hours

6: 12-24 hours

7: more than 1 days

8: more than 2 days

9: more than 3 days",,yes
R_AB_1_n,Feature,Categorical,,"Relapse of the pain in the first hours of the hospital period

0: there is no relapse

1: only one

2: 2 times

3: 3 or more times ",,yes
R_AB_2_n,Feature,Categorical,,"Relapse of the pain in the second day of the hospital period

0: there is no relapse

1: only one

2: 2 times

3: 3 or more times ",,yes
R_AB_3_n,Feature,Categorical,,"Relapse of the pain in the third day of the hospital period

0: there is no relapse

1: only one

2: 2 times

3: 3 or more times ",,yes
NA_KB,Feature,Binary,,Use of opioid drugs by the Emergency Cardiology Team,,yes
NOT_NA_KB,Feature,Binary,,Use of NSAIDs by the Emergency Cardiology Team ,,yes
LID_KB,Feature,Binary,,Use of lidocaine by the Emergency Cardiology Team,,yes
NITR_S,Feature,Binary,,Use of liquid nitrates in the ICU,,yes
NA_R_1_n,Feature,Integer,,Use of opioid drugs in the ICU in the first hours of the hospital period ,,yes
NA_R_2_n,Feature,Integer,,Use of opioid drugs in the ICU in the second day of the hospital period ,,yes
NA_R_3_n,Feature,Integer,,Use of opioid drugs in the ICU in the third day of the hospital period ,,yes
NOT_NA_1_n,Feature,Categorical,,"Use of NSAIDs in the ICU in the first hours of the hospital period

0: no

1: once

2: twice

3: three times

4: four or more times",,yes
NOT_NA_2_n,Feature,Integer,,Use of NSAIDs in the ICU in the second day of the hospital period ,,yes
NOT_NA_3_n,Feature,Integer,,Use of NSAIDs in the ICU in the third day of the hospital period ,,yes
LID_S_n,Feature,Binary,,Use of lidocaine in the ICU ,,yes
B_BLOK_S_n,Feature,Binary,,Use of beta-blockers in the ICU,,yes
ANT_CA_S_n,Feature,Binary,,Use of calcium channel blockers in the ICU,,yes
GEPAR_S_n,Feature,Binary,,Use of а anticoagulants (heparin) in the ICU,,yes
ASP_S_n,Feature,Binary,,Use of acetylsalicylic acid in the ICU ,,yes
TIKL_S_n,Feature,Binary,,Use of Ticlid in the ICU,,yes
TRENT_S_n,Feature,Binary,,Use of Trental in the ICU,,yes
FIBR_PREDS,Target,Binary,,Atrial fibrillation,,no
PREDS_TAH,Target,Binary,,Supraventricular tachycardia,,no
JELUD_TAH,Target,Binary,,Ventricular tachycardia,,no
FIBR_JELUD,Target,Binary,,Ventricular fibrillation,,no
A_V_BLOK,Target,Binary,,Third-degree AV block,,no
OTEK_LANC,Target,Binary,,Pulmonary edema,,no
RAZRIV,Target,Binary,,Myocardial rupture ,,no
DRESSLER,Target,Binary,,Dressler syndrome,,no
ZSN,Target,Binary,,Chronic heart failure,,no
REC_IM,Target,Binary,,Relapse of the myocardial infarction,,no
P_IM_STEN,Target,Binary,,Post-infarction angina,,no
LET_IS,Target,Categorical,,"Lethal outcome (cause)

0: unknown (alive)

1: cardiogenic shock

2: pulmonary edema

3: myocardial rupture

4: progress of congestive heart failure

5: thromboembolism

6: asystole

7: ventricular fibrillation",,no
